,name,description,activity,status,tag
116,astro astro,"Топ видосы у нас в сторис 😍 подпишись ❤
не забудь подписаться на уведомления 💌
и нажмать на кнопочку рекомендовать 👍","Astrology, esotericism",каждый день новые сторис😍🤤,trash
117,Промокоды Яндекс Еда - ноябрь 2023,"Только рабочие промокоды для сервиса Яндекс Еда: рестораны и магазины на ноябрь 2023 года.

Проверяем информацию на актуальность ежедневно. 

Вступайте в нашу группу, чтобы всегда быть в курсе самых выгодных скидок и промокодов для Яндекс Еда.

Яндекс Еда eda.yandex.ru — сервис заказа еды из любимых кафе, ресторанов, продуктовых магазинов.

Группа не является официальной.","Food, recipes",Самые выгодные промокоды для Яндекс Еда - ноябрь 2023,food
118,PRODUHI | Духи на распив | Косметика | Киров,"PRODUHI – 87 м² ароматов и уходовой косметики.

Магазин оригинальной нишевой парфюмерии на распив и в полноразмерных флаконах. Помимо ароматов, на наших полках вы всегда найдете лучшие бренды корейской косметики, диффузоры для дома, автопарфюм и свечи ручной работы.

Мы убеждены, что духи – это продолжение образа. Они дарят сильные эмоции и создают настроение на весь день. Благодаря распиву у каждой девушки есть возможность прикоснуться к высокому искусству парфюмерии и иметь для любого события уникальный аромат без головокружительных трат на полноразмерные флаконы.

• Распив от 3 миллилитров.
• Система начисления бонусов для клиентов.
• Бесплатная доставка по России и Кирову.
• Индивидуальные сеты ароматов.
• Подарочные сертификаты различных номиналов для любимых.
• Познакомиться с ассортиментом товаров в наличии и сделать заказ можно в нашем интернет-магазине.

📍г. Киров, ул. Спасская, д. 12 (чуть выше перекрёстка улиц Ленина и Спасской)
📍г. Кирово-Чепецк, ул. Луначарского, д. 33

Режим работы Киров и Кирово-Чепецк:
• понедельник-пятница с 10:00 до 20:00;
• суббота с 10:00 до 18:00;
• воскресенье с 10:00 до 17:00.

Связь:
Киров +7 (912) 734-01-98 | 44-01-98
Кирово-Чепецк +7 (912) 826-84-48 | 46-84-48

Сделать заказ на сайте:
Киров и РФ https://produhi-kirov.b-catalog.ru 
Кирово-Чепецк https://produhi-chepetsk.b-catalog.ru/",Personal care,Обновление ассортимента каждую неделю🛍,cosmetics
119,NEW BALANCE,"Компания ""New balance"" остается верной своим идеалам, заложенным в начале века Уильямом Райли: ""Быть неизменным новатором в области спортивных технологий"".
Наши приоритеты остаются неизменными: комфорт, качество, технологичность.

НЕ официальная группа.
НАША ГРУППА НЕ ЯВЛЯЕТСЯ ОН-ЛАЙН МАГАЗИНОМ! Вы можете посмотреть альбом ""Продажа"", где все участники могут купить или продать одежду и обувь.

Администрация сообщества может исключить Вас без объяснения причин, если они считают это нужным!",Public page,I achieved New Balance,clothes
120,Новые Альбомы,"Один из самых популярных музыкальных пабликов Вконтакте. Каждый день рассказываем про актуальную музыку и новостях, которые ее окружают",Internet media,,events
121,Сеть магазинов DNS,"Официальная страница компании.

DNS – один из лидеров цифрового ритейла России. В 1998 году компания открыла свой первый компьютерный магазин в городе Владивосток. 

Группа создана в первую очередь для информирования клиентов и публикации интересного контента, а не для обратной связи. 

Если вы хотите решить какой-то вопрос, связанный с продажами, сервисом, ассортиментом и так далее:

Телефон справочной службы:
8-800-77-07-999

Обратная связь:
https://www.dns-shop.ru/feedback/?utm_source=vk_federal&utm_medium=cpc&utm_campaign=zadat_vopros

Канал Клуба DNS в телеграмме:
t.me/DNS_Club 
Канал Магазина DNS в телеграмме:
t.me/dns_shop_ru

В комментариях запрещены:

- Маты и оскорбления;
- Обсуждение политики;
- Реклама, упоминание сторонних магазинов и спам.

⚡ БЫСТРЫЙ ПОИСК ПО ТЕМАМ ⚡
— #Блоги@dnsstore
— #Мультики@dnsstore
— #Инфографика@dnsstore
— #Гайды@dnsstore
— #Акции@dnsstore
— #Обзоры@dnsstore
— #Новости@dnsstore",Electronics,Сеть магазинов цифровой и бытовой техники DNS – это всегда широкий выбор и низкие цены!,tech
122,FORTNITE UNITED,"Свежие новости, актуальные гайды, лучшие мемы, последние инсайды и сливы  ты найдешь в нашей группе, друг! Ежедневный магазин Fortnite. Подписывайся на наше фан сообщество! #Fortniteunited

Теперь каждый из вас может поддержать нас! 💪🏻 Не забывайте обновлять ТЕГ - раз в 2 недели он сбрасывается самостоятельно. 

💥Тег для поддержки авторов: BODF90",Video games,Тег автора bodf90 Подписывайся на лучший FORTNITE паблик!,games
123,enstars merch,Добро пожаловать в группу с коллективками на мерч по Ensemble Stars! Здесь Вы можете присоединиться к коллектам на различный мерч или организовать свой собственный.  Перед тем как задать вопрос настоятельно рекомендуем ознакомиться с правилами сообщества:https://vk.com/topic-145929161_40154785,Video games,"Ч И Т А Й Т Е П Р А В И Л А | МЫ В ПЕРВУЮ ОЧЕРЕДЬ _АНСТАР_ МЕРЧ, НЕ ЗАБЫВАЙТЕ ОБ ЭТОМ, ПОЖАЛУЙСТА!",merch
124,Барбоскины как смысл жизни,,Humor,😍,trash
125,ЕДА НА ДОМ! Своя еда!,"Доброго времени суток!

 Далеко не все могут найти в  плотном графике несколько часов для приготовления любимых вкусных блюд. Часто приходится питаться на бегу, покупая ""быструю еду"". А многие продукты в магазине содержат консерванты, красители и усилители вкуса.. Предлагаю порадовать Ваших родных и близких вкусной, полезной домашней едой. Здоровое питание - это залог долгой жизни, об этом знает и ребенок. Наше настроение, внешний вид, способность думать и действовать - все зависит от того, что и как мы едим.

Хочу Вам предложить свои услуги. Готовлю еду уже 20 лет. В моих рецептах Вы не найдете ничего, кроме естественных ингридиентов. Все приготовлено с любовью и заботой.",Public page,,food
126,Обзор косметика,"Рада видеть вас у себя в сообществе!
Меня зовут Ирина и тут я буду делаться своими впечатлениями на ту или иную косметику. Буду делать обзор и давать свои советы.
Надеюсь тебе понравится!",Personal care,,cosmetics
127,adidas Originals,"Мир спорта и стиля в приложении adidas:
go.adidas.com/ihha/a76413e6",Sports clothing and footwear,"STAN SMITH, FOREVER",clothes
128,Афиша Концерты в Москве. Куда пойти сходить?,"Афиша концертов и культурных программ в Москве. Наше сообщество состоит из людей любящих посещать концерты выставки и культурно проводить время. Если Вы планируете отдохнуть в Москве и не знаете куда сходить, то вам поможет наше сообщество. 
Так же мы рассказываем о том, что лучше купить и где? Разумеется все это в Столице нашей Родины - Москве! 
Рекомендуем посетить:",Concert,Рекомендуем посетить:,events
129,М.Видео,М.Видео — лучшее место для встречи людей и электроники. На сегодняшний момент работает более 500 магазинов!,Electronics,Лучшее место для встречи людей и электроники,tech
130,Дота Интернешнл,"⚡️ International Dota — всё самое главное из мира киберспорта в Дота 2, освещаем каждый Интернешнл и делимся актуальным расписанием, матчами и командами!

Все герои и персонажи Доты, рассказываем, как быстро и легко скачать Доту, рабочие и актуальные лайфхаки, фишки и баги игры. Киберспорт и Интернешнл Дота 2 с нами!

• The International 2023 [TI 12] — Spirit Dota 2
• The International 2022 [TI 11] — Thundra Esports
• The International 2021 [TI 10] — Тим Спирит

Игра Дота 2 2023 — регулярные розыгрыши предметов, получи Dota Plus и аркану Дота 2

Навигация:
#TheInternational12 — The International 2023
#интернешнл2023 — #TI12@dota_2
#Новости@dota_2 — Новости Dota 2
#Обновления@dota_2 — Последние патчи
#Рейтинг@dota_2 — Мировой рейтинг
#Команды@dota_2 — Команды
#Игроки@dota_2 — Игроки
#Турниры@dota_2 — Турниры
#Матчи@dota_2 — Матчи Dota 2
#Cтатистика@dota_2 — Интересная статистика
#Розыгрыши@dota_2 – Конкурсы и розыгрыши
#Мемы@dota_2 – Мемы по киберспорту
#Хайлайты@dota_2 — Лучшие моменты
#интернешнл2022 — #TI11@dota_2 #TheInternational11 — The International 2022
#Spirit@dota_2— Спирит Дота 2

(!) Поиск игроков/команды/праков(pracc) можно найти в обсуждениях

(!) Ставки и прогнозы – это не про нас! Мы освещаем киберспорт!",Esports,🔥 Интернешнл 2023 в Дота 2 — главные новости!,games
131,your_candle - фан-мерч по Геншину и не только,"Маленькое сообщество фанатского мерча по Genshin Impact.

Мы делаем все своими лапками - ароматические соевые свечи, арома диффузоры, и многое другое, что находится в разработке.

Все арома-товары созданы с абсолютно уникальными ароматами, потому что мы работаем на смесях масел, которые делаем вручную. В точности таких же ароматов нет ни у кого, т.к. формулы известны только нам ^^

Минимальная сумма заказа - 500 рублей (без учета доставки).
Сборка заказов - каждые выходные (СБ-ВС).",Other goods,"Спасибо, что остаетесь с нами ❤",merch
132,На юморке,"Скучно не будет, подписывайся!",Humor,"Заходи поржать, а не пожрать!",trash
133,asdasd,,Cycling,,food
134,"Onme — косметика, которая работает","Бренд эффективной и безопасной косметики из Санкт-Петербурга, основанный в 2017 году.

— Мы про эффективность и функциональность: активные компоненты наших средств имеют доказанную эффективность и международное признание, что подтверждает сертификат ICADA Functional Cosmetics

— Мы про безопасность для человека и природы: в каждом средстве от 95% ингредиентов натурального происхождения, исключая компоненты, оказывающие негативное влияние на здоровье человека и состояние окружающей среды. Это подтверждено сертификатом ICADA Clean Beauty

— Мы про любовь к животным и ответственное потребление. Это подтверждает сертификат PETA Cruelty-free and Vegan. 

✨ Наш принцип — важное внутри. Нам важно, чтобы пользуясь средствами Onme вы получали результат: эффективную формулу за разумные деньги.","Perfume, Cosmetics","Рассказываем о красоте, экологии, любви к себе, здоровье и косметике. Ведь самое важное — внутри.",cosmetics
135,ɑdidɑs / / / Originals,"● Одна из первых неофициальных групп ВКонтакте.
● Создана 17 апреля 2007 года.

★ Группа для тех, кто любит бренд adidas originals!

★ Для тех, кто просто не может не носить эти полосатые вещи!

★16+

➲ Всем читать и соблюдать правила!","Fashion, clothing, shoes",Неофициальное сообщество,clothes
136,"Expomap - выставки, конференции, фестивали","Сообщество активных маркетологов, пиарщиков и рекламщиков, а также руководителей и собственников бизнесов, нацеленных на использование технологий выставок, конференций и других деловых событий  на благо своих компаний.",Internet media,Будь в курсе событий своей отрасли!,events
137,Эльдорадо,"— Кто мы такие? 
— Эльдорадо! 
— Чего мы хотим? 
— Чтобы вам было выгодно!

Скачивай наше мобильное приложение
https://taplink.cc/eldorado.ru",Electronics,На связи 24/7 8 800 250 25 25 customer@eldorado.ru,tech
138,VK Dota 2,Самые яркие новости из мира Dota 2 в одном сообществе.,Video game,,games
139,enstars merch,Добро пожаловать в группу с коллективками на мерч по Ensemble Stars! Здесь Вы можете присоединиться к коллектам на различный мерч или организовать свой собственный.  Перед тем как задать вопрос настоятельно рекомендуем ознакомиться с правилами сообщества:https://vk.com/topic-145929161_40154785,Video games,"Ч И Т А Й Т Е П Р А В И Л А | МЫ В ПЕРВУЮ ОЧЕРЕДЬ _АНСТАР_ МЕРЧ, НЕ ЗАБЫВАЙТЕ ОБ ЭТОМ, ПОЖАЛУЙСТА!",merch
140,Lupinelove,вдохновение и эстетика🤍,Creative work,,trash
141,Еда на ДОМ !!!,"Еда с доставкой на дом или на работу - когда вы устали или просто нет желания готовить))) 
есть все!!!
- от Витаминизированного до фастфуда )))",Public page,То что хочется съесть мы готовим !!! Главное сделать заказ !!!,food
142,Корейская косметика PandaShop,"Добро пожаловать в мир PandaBanda!🐼

Рады видеть тебя в нашей группе, здесь вы узнаете секреты и лайфхаки применения корейской косметики, обзоры новинок и секретные промокоды на выгодные покупки. 

🚀 Подписывайся и узнавай первым об акциях и распродажах.

Замучали воспаления, морщины, тусклый цвет лица?

👌🏻 Не переживайте:
Сделаем вашу кожу сияющей за 14 дней благодаря корейской системе ухода из 3х средств всего за 2990 руб.

🐼 За 7 лет уже 50 650 клиентов обрели идеальную кожу и сэкономили деньги на ненужных баночках.

Для консультации пишите сюда-

🚘 Доставка по Ростову за 60 минут.

📦Доставка по всей России курьером с оплатой при получении от 1 дня.

PANDA SHOP в Ростове:
📍Суворова, 77
📍ТК «Талер»
📍ТК «Мегамаг»
📍Московская, 52А

📲Интернет-магазин: shop-panda.com","Perfume, Cosmetics",Самый большой блог об уходе за кожей,cosmetics
143,adidas,"Мы верим, что с помощью силы спорта мы можем менять жизни людей. #ImpossibleIsNothing https://a.did.as/6009HNEU7","Clothing, shoes",Невозможное возможно.,clothes
144,Клаустрофобия. Квесты в реальности,"Квесты от Клаустрофобии - это лучше, чем фильм и больше, чем просто игра. Ты становишься неотъемлемой частью уникального сюжета, а все события происходят на самом деле. Успей выполнить миссию, чтобы узнать, чем закончится твоя история.

Раскрываем все карты сферы развлечений
https://claustrophobia.com/2dnFdi

👉 Забронировать квест: https://clck.ru/35adhz

🎁 Купить квест в подарок: https://claustrophobia.com/ESC9rA

По общим вопросам: helpme@claustrophobia.com",Quest,Международная сеть квестов №1 с 2013 года 🗝,events
145,Барахолка Apple iPhone Москва,"Сообщество "" Барахолка Apple в Москве "" - это группа для продажи оригинальной техники Apple Частными лицами, а также для обмена оригинальной техникой Apple между владельцами в регионе г. Москва (Московская область). Разместить пост: 👉 https://vk.cc/aralm6

....................................................
<iMac> <MacBook> <MacMini><iPod><AppleTV><IPAD><iPhone><iPhone 7>

купить iPhone 2g 3g 4 4s 5 5s 6 6s 6 plus 6s plus SE 7 8 9 X 11 12 13 14 Pro Max
купить iPad 1 2 3 4 + Wifi Celluar 3g 4g
купит Macbook Air Pro
купить iMac
купит iPod Touch 1 2 3 4 5 6
купит ipod nano 
купить 16 gb 32gb 64gb 128 gb
купить новое бу
продать iPhone
продать iPad 1 2 3 4 + Wifi Celluar 3g 4g
продать Macbook
продать iMac
apple +в москве
apple iphone купить +в москве
ремонт apple москва
магазин apple +в москве 
барахолка айфон в москве, барахолка iphone москва, барахолка ipad в москве, барахолка macbook в москве
объявления москва, айфон, ремонт, купить, продать, эпл, apple, macbook pro, MacBook Air, бот, техника apple

Также вы можете предложить на продажу технику Apple из других городов Московской области: Зеленоград, Апрелевка, Балашиха, Бронницы, Верея, Видное, Волоколамск, Воскресенск, Высоковск, Голицыно, Дзержинский, Дмитров, Долгопрудный, Домодедово, Дрезна, Дубна, Егорьевск, Жуковский, Зарайск, Звенигород, Ивантеевка, Истра, Кашира, Климовск, Клин, Коломна, Королев, Котельники, Красмоармейск, Красногорск, Краснозаводск, Краснознаменск, Кубинка, Куровское, Ликино-Дулево, Лобня, Лосино-Петровский, Луховицы, Лыткарино, Люберцы, Можайск, Мытищи, Наро-Фоминск, Ногинск, Одинцово, Озеры
Орехово-Зуево, Павловский Посад, Пересвет, Подольск, Протвино, Пушкино, Пущино, Раменское, Реутов, Рошаль, Руза,
Сергиев Посад, Серпухов, Солнечногорск, Старая Купавна, Ступино, Талдом, Фрязино, Химки, Хотьково, Черноголовка, Чехов, Шатура, Щелково, Электрогорск, Электросталь, Электроугли, Юбилейный, Яхрома",Classifieds,Публикация объявления 149р.,tech
146,Dota 2/CS GO TRADE|Обмен|Вещи|Дота 2|Трейд,"✅Продажа Trade CSGO / Dota2 скинов / Обмен скинов
Группа для трейда и продажи скинов CS:GO, Dota 2, Rust.
Продажа/покупка акков запрещена

✔️Продажа скинов CSGO, Dota, ножей, аркан
✔️Покупка скинов Cs скупка скинов dota
✔️Магазин скинов CS:GO/Dota 2
✔️Скупка скинов
✔️Trade csgo / Обмен скинами / трейд скинов приветствуется
________________
У нас можно продать скины CS:GO. Для этого просто напишите куплю продам ксго / кс го /cs go / csgo (или похожее) скины. Так же можно осуществить обмен скинов. Обычно люди пишут Trade cs go или трейд скинов csgo. Так же продать скины можно нам. Пишите в контакты или лс сообщества. Покупка скинов за лучшую цену только у нас. Дешевле чем купить в steam.",Games,Самое активное ★TRADE★ Сообщество ツ,games
147,merch market,m̈erch market — площадка для размещения объявлений о купле/продаже мерча разных творческих людей и объединений,"Clothing, shoes",,merch
148,Веселые картонки,"Будьте терпеливы. Очень много паков в отложке. Если у вас более-менее норм, мы опубликуем. Просто нужно время.",Humor,Слабоумие и отвага,trash
149,Еда!,"хочешь быть красивым - ешь! 
Не ищи, свинья, здесь апельсинов в майонезе.",Public page,,food
150,Beauty Box | Профессиональная косметика,"Группа интернет-магазина профессиональной косметики Bebox.ru 

♥ Лучший рейтинг на Яндекс.Маркете по отзывам покупателей. 

♥ Широкий ассортимент профессиональной косметики от официальных дистрибьюторов.

♥ Постоянные акции и более 1500 продуктов-хитов с максимальными скидками! 

(812) 313-23-04 для Санкт-Петербурга
(499) 500-38-06 для Москвы
8 800 555-06-38 звонок бесплатный

Круглосуточный прием заказов через сайт интернет-магазина. 

Быстрая доставка по всей России.","Perfume, Cosmetics",Профессиональная косметика от лидеров индустрии красоты,cosmetics
151,The North Face Russia,"The North Face – знаменитая аутдор компания из Калифорнии, производящая экипировку наивысшего качества с 1968 года. Бренд предлагает передовую с технической точки зрения продукцию, предназначенную для путешественников, исследователей, скалолазов, бегунов, альпинистов и горнолыжников.
NeverStopExploring",Extreme sports,официальная группа,clothes
152,Квест Вкус Риска,"Страшный квест с актёрами, динамичный экшн хоррор-перформанс «Вкус Риска» от the Risk Quest.

ОБ ИСПЫТАТЕЛЬНОМ КОМПЛЕКСЕ:
Испытательный комплекс когнитивной психологии и психотерапии во главе с молодым ученым разработал новый инновационный препарат для улучшения работы головного мозга.
Испытания показали, что у вещества есть побочные эффекты: агрессия, злоба, безумие…
Комитет не был оповещён о неготовности проекта и потребовал провести испытания на людях.
За неделю до презентации молодой ученый, никому не сказав, решил опробовать препарат на себе и своём ассистенте, предварительно немного изменив химический состав вещества.
Возможно, в его расчетах была допущена ошибка, но теперь уже слишком поздно…

О КВЕСТЕ В ЦЕЛОМ:
Вкус Риска — страшный, динамичный и самый масштабный квест Москвы, сочетающий в себе жанры экшена, хоррора и перформанса. Квест об испытании инновационного препарата для улучшения работы головного мозга. 
В локациях комплекса стоят разные задачи, но суть одна — выбраться, пройдя все испытания очумевшего доктора Адама. 
Комнаты лаборатории - это ловушки ваших фобий.  Наберитесь смелости, ведь она вам понадобится! 
Окунитесь в живую динамику игры, забудьте про скучные головоломки, погрузитесь в захватывающую историю с театральным действием. 
Впечатляющие переходы, соединяющие целые пространства, создают эффект линейного прохождения комплекса с 3 уровнями высоты, где более 25 комнат на 600 квадратных метрах. Страшная музыка, антураж, сценический свет, профессиональные актёры - всё это помогает вкусить полноценное погружение и насладиться незабываемой атмосферой! А вы готовы рискнуть?

ВАС ЖДУТ: 
– Огромная локация с более чем 25 антуражными комнатами общей площадью 600 кв.м .🏚
– 3 уровня высоты! 🏔 🙈
– От 2 до 15 игроков 👥 
– Режим игры от атмосферно погружающего до максимально контактного! 😱 🙌👹
– Уникальный сюжет 😈🔪💉 
– Ошеломительные инженерные конструкции и механизмы с оригинальными переходами между локациями 🚧 💣
– Потрясающие спецэффекты (особый сценический свет и звук) 💡🔈 
– Профессиональные театральные актёры 🎭 

МЫ ГОТОВЫ ВАС УДИВЛЯТЬ! БУДЕТ ОЧЕНЬ ЖАРКО! А вы хотите почувствовать незабываемый ВКУС РИСКА? 👻 Тогда СРОЧНО пишите и звоните нам! 😎👍",Quest,ИНФО и БРОНЬ: +7 (499) 391-48-08,events
153,Wylsacom,"Wylsacom - Кто хочет свежих яблочек?
Паблик проекта http://wylsa.com, всё о технологиях

Вопросы по сотрудничеству и рекламе: http://wylsa.com/advert/

Да прибудет с вами сила.","Technology, electronics",Смотрите новый видос!,tech
154,Dota 2 Shop / Магазин Дота 2,Продажа сетов и отдельных вещей для доты 2,Public page,,games
155,"Мам, купи!","Мем-ателье и сувенирный рудник им. Дарьи Зарыковской. Мы делаем официальный мерч твоих любимых блогеров и музыкантов!

• Мы на Озоне https://vk.cc/cbQjlI
• И на Вайлдберрис https://vk.cc/cbQjm7
• b2b, пошив, дизайн https://vk.cc/cgLwev

Доставляем по России и вообще почти по всему миру.",Other goods,ты сегодня хорошо выглядишь,merch
156,Гороскоп от каждый день на каждый день,"Мемный гороскоп на каждый день для каждого знака зодиака. 

Вся размещаемая информация никаким образом не дискриминирует кого-то по любому признаку, не призывает к каким либо действиям, несёт юмористический и развлекательный характер. Все посты и герои вымышлены. Любые совпадения с реальными личностями случайны. Если размещённая информация оскорбляет ваши взгляды, убеждения, религиозную принадлежность и тд - покиньте паблик.",Animals,Управляем твоей жизнью,trash
157,"Осторожно, Еда!",Все о еде! хорошее и плохое...,Public page,,food
158,"""Зеленая косметика"" - косметика ручной работы","Приветствую вас, милые женщины, девушки, девочки! Мужчин тоже буду рада видеть😊
Меня зовут Ирина💁. Являюсь автором натуральной косметики ""Зеленая косметика"", которая состоит из ценных растительных и эфирных масел, гидролатов целебных трав и цветов, витаминов, растительных экстрактов, только легкие эмульгаторы и консерванты (одобренные ECOCERT). 

‼ Вы не найдете в представленной косметике синтетических ароматизаторов и красителей. Не используются дешевые заменители органических компонентов. Не содержится производных нефти и синтетических масел, спирта. Косметические средства составляются для получения наилучшего результата! 

❇Вся косметика готовится ИНДИВИДУАЛЬНО, учитывая ваши личные пожелания, возраст, здоровье, наличие аллергии, тип, потребности и особенности кожи, ее состояние, предпочтения в ароматах. 

В моей группе я делюсь рецептами и в альбомах вы найдете:
-----------------------------------------------------------------
🌺 Простые уходовые косметические средства - масочки, скрабы, тоники и т.д., которые с легкостью приготовите сами. В фото- и видеоальбомах вы найдете множество рецептов. 
Описания находятся под фото!
↪https://vk.com/albums-74180964

🌺Технологию и рецепты создания кремов и других косметических средств
↪https://vk.com/album-74180964_199548825
↪https://vk.com/album-74180964_211431352

🌺Вы можете заказать натуральную косметику ручной работы по индивидуальному рецепту, для этого заполняйте анкету
↪https://vk.com/topic-74180964_31460330, в которой вы опишите особенности своей кожи и пожелания
🌺или выбрать готовую косметику ↪https://vk.com/market-74180964
__________________
Пишите, звоните: 
☎063-409-26-07 
📧irina_titova@inbox.ru 
🆔https://vk.com/id6610435 
🌍http://in.ck.ua/zelenaya-kosmetika 
🌍http://zelenakosmetika.com.ua/

Ухаживайте за собой с любовью!💕 Выбирайте для себя все самое лучшее ;)✨

❗И, что очень важно, натуральная косметика - это не волшебная пилюля от морщин и проблем с кожей! 

✔Образ вашей жизни - питание, вода, воздух, физическая активность, ваше мышление -  всё это отображается на вашем лице, на вашей коже. 

✔Вы можете измазаться самыми дорогущими, натуральными кремами, но если вашему телу не хватает воды, витаминов и микроэлементов, если оно забито табачным дымом, зашлаковано,  умирает от усталости, недосыпаний, депрессий - кремы вам не помогут!!!

✔Так что вопрос образа жизни в группе обязательно обсуждается ;)

Будьте всегда прекрасны и радостны!",Public page,"""Внешность любого человека - это точный сколок того, что человек являет собой внутренне""",cosmetics
159,TOP ШМОТ,"обзоры шмота с шейн, wildberries и тд)
так же находки для вашего дома, аксессуары и украшения","Fashion, clothing, shoes",ожидание/реальность,clothes
160,"Квест ""Сомния"" г. Сургут","Вам поступил звонок.
С этого звонка и начинается ваше знакомство с большой, не простой историей девочки Алисы.

Иммерсивный театр - квест «Сомния»

От компании «Конь стул 24»",Quest,,events
161,За ноутбуком: как зарабатывать на партнерках,"Паблик для тех, кто хочет зарабатывать, сидя за ноутбуком на своих или чужих  знаниях, сайтах, товарах или услугах.

💡Делюсь своими находками, ошибками. Раскрываю всю кухню без купюр: как зарабатываю на партнерских программах.

💡Пробую разные направления, схемы и инструменты. Анализирую что получилось, что нет и почему.  Раскрываю фишки.

💡Какие нужны навыки и инструменты для построения успешной системы заработка;

💡Я не гуру. Просто хочу на будущее создать стабильные и разнообразные источники дохода. 

💡Присоединяйтесь!",Business,"Заработок на сайтах и партнерских программах. Полезные материалы, реальные кейсы, схемы: как можно зарабатывать в интернете. ✌🏻",tech
162,Rocket League BallChaser,"Ball Chaser - это магазин игровых предметов Rocket League, открывшийся 12 декабря 2018 года. 

У нас вы всегда сможете заказать вещи из Rocket League и получить их в свой инвентарь в считанные мгновения. 

Мы предоставляем выгодные цены для наших клиентов за счет покупки предметов в огромных масштабах у наших провайдеров. 

Поэтому вам не следует беспокоиться о том, что вы переплатите, купив в нашем магазине. 

Ball Chaser - ваш надежный партнер в мире увлекательной игры Rocket League. 

Широкий выбор ассортимента, отличный сервис и быстрая доставка!",Games,Магазин демократичных цен - ballchaser.ru,games
163,JINHIT ♡ K-POP MERCH,"Добро пожаловать в наш k-pop магазин. 

У нас:
🌾Отзывчивые и компетентные администраторы
🌾Удобная система отслеживания статуса заказов
🌾Надёжная упаковка
🌾Подарок к каждому заказу
🌾Более 3100 отзывов

Товары: https://vk.com/market-127503724

Оформить заказ: https://vk.com/topic-127503724_49033134

Правила группы: https://vk.com/topic-127503724_40036331

Отзывы: https://vk.com/album-127503724_235140377

Отчеты по пришедшим коллективкам: https://vk.com/album-127503724_266917054

⌚Часы работы: 
Пн - Пт с 11:00 до 19:00 по Москве
Сб - Вск - выходные",Bookstore,,merch
164,Я не хотел это отправлять,В нашей группе содержится исключительно развлекательная информация. Целью не является оскорбить кого-либо.,Humor,F0518D,trash
165,PITA'S уличная еда и бар,"Вдохновленные европейской уличной едой и скандинавским дизайном, трое друзей открыли стритфуд с баром в Санкт-Петербурге. В меню все, что можно приготовить в лепешках-тортильях — из свежих продуктов и в неожиданных интерпретациях.","Café, Restaurant",будь искренним с самим собой.,food
166,Косметика AliExpress,Косметика c AliExpress,Public page,Нас уже 2800!!!😃🎉😘,cosmetics
167,ГОДНОТА НА АЛИЭКСПРЕСС,"ссылки на товары под фото

Наш телеграм: https://t.me/+PxED6kBGqqViYWY6

Партнерская программа ePN:
https://alii.pub/6m70aj","Clothing, shoes",ссылки на товары под фото,clothes
168,"Дом Страха, Симферополь. Квест с актёрами ™","❗Что такое ,,Дом Страха,,

Все происходит на самом деле: вы бродите своей компанией по дому в попытке выполнить задание, попутно вас пугает антураж, декорации...профессиональные актеры, знающие свое дело)

❗Какие программы бывают?
Список доступных программ: 
https://m.vk.com/market-75433783

❗Сколько это все длится?
✅ Вся длительность шоу зависит от вас, как быстро вы со всем справитесь(до 60 мин).

❗Сколько человек может зайти сразу?
✅вы участвуете в программе лишь своей компанией, которая должна быть в количестве от 2х до 15ти человек ( в зависимости от выбранной программы!!!)
НО, если вас 20,30,хоть 40 человек, не отчаивайтесь!  Мы просто поделим вас на группы или предложим пройти одновременно разные игры!

❗Когда и где работаете?
✅С четверга по воскресенье с 13.00 до 00.00 
Наш адрес: Проездная, 4

ИСКЛЮЧИТЕЛЬНО ПО ПРЕДВАРИТЕЛЬНОЙ ЗАПИСИ ПО ТЕЛЕФОНУ 79788652330 (либо в сообщениях группы).

Сотрудничество: dsmilashenko@mail.ru",Quest,Бронь ИГРЫ +79788652330😈,events
